ID	Chromosome	Start_position	End_Position	A1_CN	A2_CN
LiverTum_4	1	911428	35153957	2	1
LiverTum_4	1	36176128	234778110	2	2
LiverTum_4	1	234778129	234779417	3	1
LiverTum_4	1	234820595	248877988	2	2
LiverTum_4	2	30906	47019980	2	2
LiverTum_4	2	47020124	47039645	3	2
LiverTum_4	2	47041894	78149391	2	2
LiverTum_4	2	78150236	78158691	3	2
LiverTum_4	2	78166091	242038992	2	2
LiverTum_4	3	20631	75723526	2	2
LiverTum_4	3	75726286	75744105	3	1
LiverTum_4	3	75745416	198115487	2	2
LiverTum_4	4	192200	150296490	2	1
LiverTum_4	4	150300834	150438170	1	0
LiverTum_4	4	150442926	189877318	2	1
LiverTum_4	5	90084	53296267	2	2
LiverTum_4	5	53300560	54226215	2	1
LiverTum_4	5	54347206	181163507	2	2
LiverTum_4	6	162703	379528	2	2
LiverTum_4	6	379834	382246	3	1
LiverTum_4	6	382537	21337552	2	2
LiverTum_4	6	21478960	23093131	2	0
LiverTum_4	6	23151299	29233873	2	2
LiverTum_4	6	29261369	32209005	2	0
LiverTum_4	6	32211661	32216797	3	0
LiverTum_4	6	32218370	32219860	2	1
LiverTum_4	6	32220606	32338642	2	2
LiverTum_4	6	32340688	32369909	2	0
LiverTum_4	6	32370506	32372063	4	0
LiverTum_4	6	32373095	46347313	2	2
LiverTum_4	6	46361667	46478620	2	0
LiverTum_4	6	46482593	46498928	2	1
LiverTum_4	6	46500137	47689290	2	0
LiverTum_4	6	47690891	55189954	2	2
LiverTum_4	6	55190100	57430393	2	0
LiverTum_4	6	63602467	81739153	2	2
LiverTum_4	6	81743814	81747430	3	0
LiverTum_4	6	81751226	91273115	2	0
LiverTum_4	6	91283057	125189776	2	2
LiverTum_4	6	125192414	125198993	2	1
LiverTum_4	6	125200775	125456842	2	0
LiverTum_4	6	125460877	125698592	2	2
LiverTum_4	6	125710536	125737430	2	0
LiverTum_4	6	125748556	125796095	2	2
LiverTum_4	6	125822535	125827981	2	1
LiverTum_4	6	125831338	139279335	2	0
LiverTum_4	6	139281180	139288087	1	0
LiverTum_4	6	139302143	165298340	2	0
LiverTum_4	6	165310070	165319146	1	0
LiverTum_4	6	165321163	170603415	2	0
LiverTum_4	7	50257	159326530	2	1
LiverTum_4	8	330241	16086798	4	2
LiverTum_4	8	16092262	16098153	3	2
LiverTum_4	8	16100106	145068028	4	2
LiverTum_4	9	212557	967981	2	0
LiverTum_4	9	971066	975112	1	0
LiverTum_4	9	991114	11419828	2	0
LiverTum_4	9	11423473	11446933	0	0
LiverTum_4	9	11450611	11459410	2	0
LiverTum_4	9	11460456	11465508	1	0
LiverTum_4	9	11490521	12499211	0	0
LiverTum_4	9	12668557	15808251	2	0
LiverTum_4	9	15810789	15815248	3	0
LiverTum_4	9	15830020	21659915	2	0
LiverTum_4	9	21660144	21666949	1	0
LiverTum_4	9	21672770	21931897	0	0
LiverTum_4	9	22201037	38693549	2	0
LiverTum_4	9	40926083	40927608	1	1
LiverTum_4	9	68457017	91629464	2	0
LiverTum_4	9	91630707	91633321	1	0
LiverTum_4	9	91645835	129414460	2	0
LiverTum_4	9	129428184	129438116	1	1
LiverTum_4	9	129503049	138123517	2	0
LiverTum_4	10	87333	133619587	2	2
LiverTum_4	11	202856	135068576	2	1
LiverTum_4	12	52216	31208000	2	2
LiverTum_4	12	31209730	31254096	3	1
LiverTum_4	12	31299816	133202210	2	2
LiverTum_4	13	19918880	63059803	2	2
LiverTum_4	13	63060217	63068874	2	1
LiverTum_4	13	63070231	114339973	2	2
LiverTum_4	14	19791777	19956147	3	1
LiverTum_4	14	19956892	72432980	2	2
LiverTum_4	14	72441394	72458839	2	0
LiverTum_4	14	72460489	72700136	2	2
LiverTum_4	14	72704273	106878059	2	0
LiverTum_4	15	22228433	101607602	2	2
LiverTum_4	16	45254	85494539	2	2
LiverTum_4	16	85509479	85539804	3	2
LiverTum_4	16	85540166	90074947	2	2
LiverTum_4	17	184485	19519412	2	0
LiverTum_4	17	19535008	34559899	2	2
LiverTum_4	17	34560164	34587428	3	2
LiverTum_4	17	34590015	41606479	2	2
LiverTum_4	17	41630163	41668287	3	2
LiverTum_4	17	41784516	44899568	2	2
LiverTum_4	17	44901788	45018861	3	2
LiverTum_4	17	45022702	49449031	2	2
LiverTum_4	17	49452130	49589396	3	2
LiverTum_4	17	49608827	74838815	2	2
LiverTum_4	17	74840873	75003966	3	2
LiverTum_4	17	75010901	77609992	2	2
LiverTum_4	17	77610610	77619738	3	2
LiverTum_4	17	77621766	80902427	2	2
LiverTum_4	17	80965614	81173474	3	2
LiverTum_4	17	81176854	81569875	2	2
LiverTum_4	17	81571255	82105128	3	2
LiverTum_4	17	82112992	83090856	2	2
LiverTum_4	18	132649	14112432	2	0
LiverTum_4	18	22500997	77649960	2	2
LiverTum_4	18	77652357	77689886	3	2
LiverTum_4	18	77694583	80249901	2	2
LiverTum_4	19	260912	58578425	2	2
LiverTum_4	20	83158	57938403	2	2
LiverTum_4	20	57940698	57949899	3	2
LiverTum_4	20	57950228	64279990	2	2
LiverTum_4	21	14034348	46669379	2	2
LiverTum_4	22	19001039	19129754	2	1
LiverTum_4	22	19134985	19634844	2	2
LiverTum_4	22	19646611	19655722	2	1
LiverTum_4	22	19694982	19999679	2	2
LiverTum_4	22	20000644	20018621	2	1
LiverTum_4	22	20020096	20679083	2	0
LiverTum_4	22	20725299	20799994	2	2
LiverTum_4	22	20800102	20864588	2	1
LiverTum_4	22	20865716	20869302	3	0
LiverTum_4	22	20875276	50724710	2	0
LiverTum_4	X	2782116	49033821	2	2
LiverTum_4	X	49182527	155699751	2	1
