ID	Chromosome	Start_position	End_Position	A1_CN	A2_CN
LiverTum_2	1	911428	16477846	2	2
LiverTum_2	1	16496131	16941834	3	1
LiverTum_2	1	16954508	234777187	2	2
LiverTum_2	1	234777705	234779417	3	1
LiverTum_2	1	234820595	248877988	2	2
LiverTum_2	2	30906	234019849	2	2
LiverTum_2	2	234020462	234029620	3	2
LiverTum_2	2	234030837	242038992	2	2
LiverTum_2	3	20631	75726872	2	2
LiverTum_2	3	75732911	75745416	3	1
LiverTum_2	3	75870640	198115487	2	2
LiverTum_2	4	192200	150283282	2	2
LiverTum_2	4	150296490	150438170	2	0
LiverTum_2	4	150442926	189877318	2	2
LiverTum_2	5	90084	181163507	2	2
LiverTum_2	6	162703	379528	2	2
LiverTum_2	6	379834	382246	3	1
LiverTum_2	6	382537	21337552	2	2
LiverTum_2	6	21478960	23093131	2	0
LiverTum_2	6	23151299	29233873	2	2
LiverTum_2	6	29261369	32209005	2	0
LiverTum_2	6	32211661	32216797	3	0
LiverTum_2	6	32218370	32219860	2	1
LiverTum_2	6	32220606	32338642	2	2
LiverTum_2	6	32340688	32369909	2	0
LiverTum_2	6	32370506	32372063	4	0
LiverTum_2	6	32373095	32472051	2	2
LiverTum_2	6	32472395	32472690	4	0
LiverTum_2	6	32474380	32485414	3	1
LiverTum_2	6	32533367	46347313	2	2
LiverTum_2	6	46361667	46478620	2	0
LiverTum_2	6	46482593	46498928	2	1
LiverTum_2	6	46500137	47689290	2	0
LiverTum_2	6	47690891	55189954	2	2
LiverTum_2	6	55190100	55191379	1	1
LiverTum_2	6	55192155	57430393	2	0
LiverTum_2	6	63602467	81739153	2	2
LiverTum_2	6	81743814	81747430	3	0
LiverTum_2	6	81751226	91273115	2	0
LiverTum_2	6	91283057	125189776	2	2
LiverTum_2	6	125192414	125198993	2	1
LiverTum_2	6	125200775	125456842	2	0
LiverTum_2	6	125460877	125698592	2	2
LiverTum_2	6	125710536	125737430	2	0
LiverTum_2	6	125748556	125822535	2	2
LiverTum_2	6	125827922	125827981	3	0
LiverTum_2	6	125831338	165298340	2	0
LiverTum_2	6	165310070	165319146	1	0
LiverTum_2	6	165321163	170603415	2	0
LiverTum_2	7	50257	68568467	2	2
LiverTum_2	7	68570221	68579766	2	1
LiverTum_2	7	68580887	152384765	2	2
LiverTum_2	7	152402142	152410058	3	1
LiverTum_2	7	152437207	159326530	2	2
LiverTum_2	8	330241	16086798	4	2
LiverTum_2	8	16092262	16098153	3	2
LiverTum_2	8	16100106	145068028	4	2
LiverTum_2	9	212557	967981	2	0
LiverTum_2	9	971066	978833	1	0
LiverTum_2	9	991114	11419061	2	0
LiverTum_2	9	11422521	11448773	0	0
LiverTum_2	9	11450611	11459410	2	0
LiverTum_2	9	11460456	11469190	1	0
LiverTum_2	9	11477006	12539495	0	0
LiverTum_2	9	12668557	21659915	2	0
LiverTum_2	9	21660144	21667763	1	0
LiverTum_2	9	21670462	21948667	0	0
LiverTum_2	9	22201037	91629464	2	0
LiverTum_2	9	91630707	91633321	1	0
LiverTum_2	9	91645835	129414460	2	0
LiverTum_2	9	129428184	129438116	2	1
LiverTum_2	9	129503049	138123517	2	0
LiverTum_2	10	87333	133619587	2	2
LiverTum_2	11	202856	18919563	2	2
LiverTum_2	11	18920301	18942276	3	1
LiverTum_2	11	18945045	21627023	2	2
LiverTum_2	11	21631181	21639765	2	1
LiverTum_2	11	21640067	115597384	2	2
LiverTum_2	11	115600591	115609275	3	2
LiverTum_2	11	115610079	129709117	2	2
LiverTum_2	11	129720800	129729825	3	2
LiverTum_2	11	129730161	134478027	2	2
LiverTum_2	11	134478862	134851142	3	1
LiverTum_2	11	134856831	135068576	2	2
LiverTum_2	12	52216	31037997	2	2
LiverTum_2	12	31203959	31254096	3	1
LiverTum_2	12	31299816	94089779	2	2
LiverTum_2	12	94090160	94108808	3	2
LiverTum_2	12	94113040	133202210	2	2
LiverTum_2	13	19918880	63055024	2	2
LiverTum_2	13	63059803	63068874	2	1
LiverTum_2	13	63070231	114339973	2	2
LiverTum_2	14	19791777	19956147	3	1
LiverTum_2	14	19956892	72432980	2	2
LiverTum_2	14	72441394	72458839	2	0
LiverTum_2	14	72460489	72699644	2	2
LiverTum_2	14	72700136	106878059	2	0
LiverTum_2	15	22228433	101607602	2	2
LiverTum_2	16	45254	22615471	2	2
LiverTum_2	16	22626894	22697934	3	1
LiverTum_2	16	22703259	90074947	2	2
LiverTum_2	17	184485	7666871	2	0
LiverTum_2	17	7768729	7817913	0	0
LiverTum_2	17	7903211	15443060	2	0
LiverTum_2	17	15665794	77609992	2	2
LiverTum_2	17	77610610	77619738	3	2
LiverTum_2	17	77621766	83090856	2	2
LiverTum_2	18	132649	14112432	2	0
LiverTum_2	18	22500997	80249901	2	2
LiverTum_2	19	260912	58578425	2	2
LiverTum_2	20	83158	64279990	2	2
LiverTum_2	21	14034348	46669379	2	2
LiverTum_2	22	19001039	50724710	2	2
LiverTum_2	X	2782116	155699751	2	2
